"data";"tipo_teste";"testes_negativos";"testes_positivos";"testes_inconclusivos"
2020-04-25;"TESTE RÁPIDO - ANTÍGENO";135;66;135
2020-04-25;NA;0;0;0
2020-04-26;"Enzimaimunoensaio - ELISA IgM";0;4;0
2020-04-26;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;5;0
2020-04-26;"RT-PCR";914;1097;914
2020-04-26;"TESTE RÁPIDO - ANTICORPO";856;459;856
2020-04-26;"TESTE RÁPIDO - ANTÍGENO";71;54;71
2020-04-27;"Enzimaimunoensaio  ELISA";0;2;0
2020-04-27;"Enzimaimunoensaio - ELISA IgM";2;3;2
2020-04-27;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;2;0
2020-04-27;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;3;1
2020-04-27;"RT-PCR";4128;4047;4128
2020-04-27;"TESTE RÁPIDO - ANTICORPO";4576;1869;4576
2020-04-27;"TESTE RÁPIDO - ANTÍGENO";252;156;252
2020-04-27;NA;0;0;0
2020-04-28;"Enzimaimunoensaio - ELISA IgM";0;2;0
2020-04-28;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;1;0
2020-04-28;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;1;0
2020-04-28;"RT-PCR";4141;5465;4141
2020-04-28;"TESTE RÁPIDO - ANTICORPO";4347;1771;4347
2020-04-28;"TESTE RÁPIDO - ANTÍGENO";231;170;231
2020-04-28;NA;0;0;0
2020-04-29;"Enzimaimunoensaio - ELISA IgM";1;2;1
2020-04-29;"Imunoensaio por Eletroquimioluminescência  ECLIA";1;0;1
2020-04-29;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;4;1
2020-04-29;"RT-PCR";3463;3268;3463
2020-04-29;"TESTE RÁPIDO - ANTICORPO";4927;2008;4927
2020-04-29;"TESTE RÁPIDO - ANTÍGENO";293;163;293
2020-04-29;NA;0;0;0
2020-04-30;"Enzimaimunoensaio  ELISA";3;0;3
2020-04-30;"Enzimaimunoensaio - ELISA IgM";1;2;1
2020-04-30;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;4;1
2020-04-30;"RT-PCR";3282;3555;3282
2020-04-30;"TESTE RÁPIDO - ANTICORPO";5210;2448;5210
2020-04-30;"TESTE RÁPIDO - ANTÍGENO";343;194;343
2020-04-30;NA;0;0;0
2020-05-01;"Enzimaimunoensaio - ELISA IgM";2;1;2
2020-05-01;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";2;1;2
2020-05-01;"RT-PCR";1472;1708;1472
2020-05-01;"TESTE RÁPIDO - ANTICORPO";1929;1172;1929
2020-05-01;"TESTE RÁPIDO - ANTÍGENO";166;128;166
2020-05-01;NA;0;0;0
2020-05-02;"Enzimaimunoensaio - ELISA IgM";2;2;2
2020-05-02;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";2;3;2
2020-05-02;"RT-PCR";1568;1953;1568
2020-05-02;"TESTE RÁPIDO - ANTICORPO";2324;1009;2324
2020-05-02;"TESTE RÁPIDO - ANTÍGENO";182;110;182
2020-05-02;NA;0;0;0
2020-05-03;"Enzimaimunoensaio - ELISA IgM";0;1;0
2020-05-03;"RT-PCR";996;1423;996
2020-05-03;"TESTE RÁPIDO - ANTICORPO";1272;940;1272
2020-05-03;"TESTE RÁPIDO - ANTÍGENO";117;81;117
2020-05-04;"Enzimaimunoensaio  ELISA";2;1;2
2020-05-04;"Enzimaimunoensaio - ELISA IgM";2;5;2
2020-05-04;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;2;0
2020-05-04;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";2;5;2
2020-05-04;"RT-PCR";3869;4318;3869
2020-05-04;"TESTE RÁPIDO - ANTICORPO";6792;3440;6792
2020-05-04;"TESTE RÁPIDO - ANTÍGENO";472;302;472
2020-05-04;NA;0;0;0
2020-05-05;"Enzimaimunoensaio - ELISA IgM";0;3;0
2020-05-05;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";2;2;2
2020-05-05;"Quimioluminescência - CLIA";2;0;2
2020-05-05;"RT-PCR";3454;4264;3454
2020-05-05;"TESTE RÁPIDO - ANTICORPO";6861;3915;6861
2020-05-05;"TESTE RÁPIDO - ANTÍGENO";456;325;456
2020-05-06;"Enzimaimunoensaio  ELISA";1;0;1
2020-05-06;"Enzimaimunoensaio - ELISA IgM";13;5;13
2020-05-06;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;10;0
2020-05-06;"RT-PCR";3551;4201;3551
2020-05-06;"TESTE RÁPIDO - ANTICORPO";7168;4061;7168
2020-05-06;"TESTE RÁPIDO - ANTÍGENO";513;338;513
2020-05-06;NA;0;0;0
2020-05-07;"Enzimaimunoensaio  ELISA";1;0;1
2020-05-07;"Enzimaimunoensaio - ELISA IgM";8;7;8
2020-05-07;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";2;7;2
2020-05-07;"RT-PCR";3704;4096;3704
2020-05-07;"TESTE RÁPIDO - ANTICORPO";8253;4564;8253
2020-05-07;"TESTE RÁPIDO - ANTÍGENO";731;392;731
2020-05-07;NA;0;0;0
2020-05-08;"Enzimaimunoensaio  ELISA";2;1;2
2020-05-08;"Enzimaimunoensaio - ELISA IgM";4;6;4
2020-05-08;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;2;0
2020-05-08;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";3;8;3
2020-05-08;"RT-PCR";3719;4126;3719
2020-05-08;"TESTE RÁPIDO - ANTICORPO";8450;5132;8450
2020-05-08;"TESTE RÁPIDO - ANTÍGENO";717;438;717
2020-05-08;NA;0;0;0
2020-05-09;"Enzimaimunoensaio - ELISA IgM";3;2;3
2020-05-09;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;2;1
2020-05-09;"Quimioluminescência - CLIA";1;0;1
2020-05-09;"RT-PCR";1406;2138;1406
2020-05-09;"TESTE RÁPIDO - ANTICORPO";3417;2322;3417
2020-05-09;"TESTE RÁPIDO - ANTÍGENO";229;149;229
2020-05-10;"Enzimaimunoensaio  ELISA";0;2;0
2020-05-10;"Enzimaimunoensaio - ELISA IgM";3;4;3
2020-05-10;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;1;1
2020-05-10;"RT-PCR";1020;1457;1020
2020-05-10;"TESTE RÁPIDO - ANTICORPO";2038;1586;2038
2020-05-10;"TESTE RÁPIDO - ANTÍGENO";180;124;180
2020-05-10;NA;0;0;0
2020-05-11;"Enzimaimunoensaio  ELISA";0;4;0
2020-05-11;"Enzimaimunoensaio - ELISA IgM";5;12;5
2020-05-11;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;1;0
2020-05-11;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";2;4;2
2020-05-11;"RT-PCR";3197;3316;3197
2020-05-11;"TESTE RÁPIDO - ANTICORPO";8243;5186;8243
2020-05-11;"TESTE RÁPIDO - ANTÍGENO";519;444;519
2020-05-12;"Enzimaimunoensaio  ELISA";0;1;0
2020-05-12;"Enzimaimunoensaio - ELISA IgM";6;9;6
2020-05-12;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;3;0
2020-05-12;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";5;5;5
2020-05-12;"RT-PCR";4454;4924;4454
2020-05-12;"TESTE RÁPIDO - ANTICORPO";11616;7184;11616
2020-05-12;"TESTE RÁPIDO - ANTÍGENO";695;730;695
2020-05-12;NA;0;0;0
2020-05-13;"Enzimaimunoensaio  ELISA";0;2;0
2020-05-13;"Enzimaimunoensaio - ELISA IgM";8;8;8
2020-05-13;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;1;0
2020-05-13;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;6;1
2020-05-13;"Quimioluminescência - CLIA";1;0;1
2020-05-13;"RT-PCR";4802;4923;4802
2020-05-13;"TESTE RÁPIDO - ANTICORPO";12268;7751;12268
2020-05-13;"TESTE RÁPIDO - ANTÍGENO";663;542;663
2020-05-13;NA;0;0;0
2020-05-14;"Enzimaimunoensaio - ELISA IgM";4;7;4
2020-05-14;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";3;9;3
2020-05-14;"RT-PCR";4550;4615;4550
2020-05-14;"TESTE RÁPIDO - ANTICORPO";12113;7869;12113
2020-05-14;"TESTE RÁPIDO - ANTÍGENO";869;606;869
2020-05-14;NA;0;0;0
2020-05-15;"Enzimaimunoensaio  ELISA";1;0;1
2020-05-15;"Enzimaimunoensaio - ELISA IgM";9;9;9
2020-05-15;"Imunoensaio por Eletroquimioluminescência  ECLIA";2;0;2
2020-05-15;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;7;1
2020-05-15;"Quimioluminescência - CLIA";1;0;1
2020-05-15;"RT-PCR";4400;4555;4400
2020-05-15;"TESTE RÁPIDO - ANTICORPO";12661;8064;12661
2020-05-15;"TESTE RÁPIDO - ANTÍGENO";943;589;943
2020-05-15;NA;0;0;0
2020-05-16;"Enzimaimunoensaio  ELISA";0;3;0
2020-05-16;"Enzimaimunoensaio - ELISA IgM";2;10;2
2020-05-16;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";1;1;1
2020-05-16;"RT-PCR";1802;2515;1802
2020-05-16;"TESTE RÁPIDO - ANTICORPO";4771;3607;4771
2020-05-16;"TESTE RÁPIDO - ANTÍGENO";324;299;324
2020-05-16;NA;0;0;0
2020-05-17;"Enzimaimunoensaio - ELISA IgM";1;5;1
2020-05-17;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";0;2;0
2020-05-17;"RT-PCR";1322;1789;1322
2020-05-17;"TESTE RÁPIDO - ANTICORPO";2755;2452;2755
2020-05-17;"TESTE RÁPIDO - ANTÍGENO";273;180;273
2020-05-17;NA;0;0;0
2020-05-18;"Enzimaimunoensaio  ELISA";3;0;3
2020-05-18;"Enzimaimunoensaio - ELISA IgM";8;10;8
2020-05-18;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;2;0
2020-05-18;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";12;6;12
2020-05-18;"Quimioluminescência - CLIA";0;1;0
2020-05-18;"RT-PCR";4996;5170;4996
2020-05-18;"TESTE RÁPIDO - ANTICORPO";15389;10061;15389
2020-05-18;"TESTE RÁPIDO - ANTÍGENO";962;732;962
2020-05-18;NA;0;0;0
2020-05-19;"Enzimaimunoensaio  ELISA";2;1;2
2020-05-19;"Enzimaimunoensaio - ELISA IgM";89;9;89
2020-05-19;"Imunoensaio por Eletroquimioluminescência  ECLIA";1;0;1
2020-05-19;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";4;12;4
2020-05-19;"RT-PCR";5585;6054;5585
2020-05-19;"TESTE RÁPIDO - ANTICORPO";17619;10913;17619
2020-05-19;"TESTE RÁPIDO - ANTÍGENO";1338;898;1338
2020-05-19;NA;0;0;0
2020-05-20;"Enzimaimunoensaio - ELISA IgM";18;4;18
2020-05-20;"Imunoensaio por Eletroquimioluminescência  ECLIA";0;2;0
2020-05-20;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";14;13;14
2020-05-20;"Quimioluminescência - CLIA";2;3;2
2020-05-20;"RT-PCR";5490;5350;5490
2020-05-20;"TESTE RÁPIDO - ANTICORPO";18229;11878;18229
2020-05-20;"TESTE RÁPIDO - ANTÍGENO";1091;691;1091
2020-05-20;NA;0;0;0
2020-05-21;"Enzimaimunoensaio  ELISA";3;1;3
2020-05-21;"Enzimaimunoensaio - ELISA IgM";91;11;91
2020-05-21;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";6;8;6
2020-05-21;"Quimioluminescência - CLIA";2;0;2
2020-05-21;"RT-PCR";5450;5693;5450
2020-05-21;"TESTE RÁPIDO - ANTICORPO";18271;11935;18271
2020-05-21;"TESTE RÁPIDO - ANTÍGENO";1103;772;1103
2020-05-21;NA;0;0;0
2020-05-22;"Enzimaimunoensaio  ELISA";9;9;9
2020-05-22;"Enzimaimunoensaio - ELISA IgM";138;6;138
2020-05-22;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";3;11;3
2020-05-22;"RT-PCR";5234;5113;5234
2020-05-22;"TESTE RÁPIDO - ANTICORPO";18660;11635;18660
2020-05-22;"TESTE RÁPIDO - ANTÍGENO";1207;757;1207
2020-05-22;NA;0;0;0
2020-05-23;"Enzimaimunoensaio - ELISA IgM";22;15;22
2020-05-23;"Imunoensaio por Eletroquimioluminescência - ECLIA IgG";2;3;2
2020-05-23;"Quimioluminescência - CLIA";1;0;1
2020-05-23;"RT-PCR";2521;2864;2521
2020-05-23;"TESTE RÁPIDO - ANTICORPO";7783;5197;7783
2020-05-23;"TESTE RÁPIDO - ANTÍGENO";462;379;462
2020-05-23;NA;0;0;0
2020-05-24;"Enzimaimunoensaio  ELISA";4;0;4
2020-05-24;"Enzimaimunoensaio - ELISA IgM";70;19;70
2020-05-24;"RT-PCR";1447;2847;1447
2020-05-24;"TESTE RÁPIDO - ANTICORPO";3933;2948;3933
2020-05-24;"TESTE RÁPIDO - ANTÍGENO";343;227;343
2020-05-25;"Enzimaimunoensaio  ELISA";2;0;2
2020-05-25;"Enzimaimunoensaio - ELISA IgM";48;19;48
