semana_epi;tipo_teste;uf;ultimo_dia_semana;testes_positivos;testes_negativos;testes_inconclusivos;testes_total;testes_com_resultado;testes_taxa_positivo
14;RT-PCR;MT;2020-04-04;14;26;0;40;40;0,3500000000000000
14;RT-PCR;PA;2020-04-04;61;165;0;228;226;0,2699115044247787
14;RT-PCR;PB;2020-04-04;28;101;0;130;129;0,2170542635658915
14;RT-PCR;PE;2020-04-04;30;52;0;83;82;0,3658536585365854
14;RT-PCR;PI;2020-04-04;10;54;0;64;64;0,1562500000000000
14;RT-PCR;PR;2020-04-04;25;174;0;199;199;0,1256281407035176
14;RT-PCR;RJ;2020-04-04;968;871;0;1841;1839;0,5263730288200109
14;RT-PCR;RN;2020-04-04;134;650;0;784;784;0,1709183673469388
14;RT-PCR;RO;2020-04-04;13;146;0;159;159;0,0817610062893082
14;RT-PCR;RR;2020-04-04;25;67;0;92;92;0,2717391304347826
14;RT-PCR;RS;2020-04-04;145;604;0;755;749;0,1935914552736983
14;RT-PCR;SC;2020-04-04;437;2506;0;2946;2943;0,1484879374787632
14;RT-PCR;SE;2020-04-04;6;8;0;14;14;0,4285714285714285
14;RT-PCR;SP;2020-04-04;1299;1155;0;2458;2454;0,5293398533007335
14;RT-PCR;TO;2020-04-04;18;86;0;104;104;0,1730769230769231
14;RT-PCR;NA;2020-04-04;3070;339;1;3665;3410;0,9002932551319648
14;Teste rápido;AC;2020-04-04;1;1;0;2;2;0,5000000000000000
14;Teste rápido;AL;2020-04-04;7;12;0;19;19;0,3684210526315789
14;Teste rápido;AM;2020-04-04;41;38;0;79;79;0,5189873417721519
14;Teste rápido;AP;2020-04-04;14;15;0;29;29;0,4827586206896552
14;Teste rápido;BA;2020-04-04;18;205;0;224;223;0,0807174887892377
14;Teste rápido;CE;2020-04-04;70;200;0;270;270;0,2592592592592592
14;Teste rápido;DF;2020-04-04;23;10;0;33;33;0,6969696969696970
14;Teste rápido;GO;2020-04-04;7;91;0;98;98;0,0714285714285714
14;Teste rápido;MA;2020-04-04;6;92;0;98;98;0,0612244897959184
14;Teste rápido;MG;2020-04-04;78;353;0;432;431;0,1809744779582367
14;Teste rápido;MS;2020-04-04;2;11;0;13;13;0,1538461538461539
14;Teste rápido;MT;2020-04-04;2;8;0;10;10;0,2000000000000000
14;Teste rápido;PA;2020-04-04;12;47;0;61;59;0,2033898305084746
14;Teste rápido;PB;2020-04-04;16;50;0;66;66;0,2424242424242424
14;Teste rápido;PE;2020-04-04;4;10;0;14;14;0,2857142857142857
14;Teste rápido;PI;2020-04-04;1;23;0;24;24;0,0416666666666667
14;Teste rápido;PR;2020-04-04;2;7;0;9;9;0,2222222222222222
14;Teste rápido;RJ;2020-04-04;87;128;0;215;215;0,4046511627906977
14;Teste rápido;RN;2020-04-04;4;12;0;16;16;0,2500000000000000
14;Teste rápido;RO;2020-04-04;3;36;0;39;39;0,0769230769230769
14;Teste rápido;RR;2020-04-04;5;1;0;6;6;0,8333333333333334
14;Teste rápido;RS;2020-04-04;8;48;0;56;56;0,1428571428571428
14;Teste rápido;SC;2020-04-04;146;273;0;419;419;0,3484486873508353
14;Teste rápido;SE;2020-04-04;0;4;0;4;4;0,0000000000000000
14;Teste rápido;SP;2020-04-04;16;60;0;76;76;0,2105263157894737
14;Teste rápido;TO;2020-04-04;3;92;0;95;95;0,0315789473684211
14;Teste rápido;NA;2020-04-04;11;39;0;53;50;0,2200000000000000
14;Outros;BA;2020-04-04;0;2;0;2;2;0,0000000000000000
14;Outros;DF;2020-04-04;1;0;0;1;1;1,0000000000000000
14;Outros;MA;2020-04-04;1;4;0;5;5;0,2000000000000000
14;Outros;MG;2020-04-04;2;1;0;3;3;0,6666666666666666
14;Outros;PA;2020-04-04;1;0;0;1;1;1,0000000000000000
14;Outros;RJ;2020-04-04;10;0;0;10;10;1,0000000000000000
14;Outros;NA;2020-04-04;0;2;0;23;2;0,0000000000000000
15;RT-PCR;AC;2020-04-11;52;244;0;296;296;0,1756756756756757
15;RT-PCR;AL;2020-04-11;70;65;0;135;135;0,5185185185185185
15;RT-PCR;AM;2020-04-11;451;360;0;816;811;0,5561035758323057
15;RT-PCR;AP;2020-04-11;199;382;0;583;581;0,3425129087779690
15;RT-PCR;BA;2020-04-11;410;1516;0;1938;1926;0,2128764278296988
15;RT-PCR;CE;2020-04-11;805;822;1;1628;1628;0,4944717444717445
15;RT-PCR;DF;2020-04-11;144;151;0;297;295;0,4881355932203390
15;RT-PCR;ES;2020-04-11;110;158;0;268;268;0,4104477611940299
15;RT-PCR;GO;2020-04-11;139;817;0;959;956;0,1453974895397490
15;RT-PCR;MA;2020-04-11;94;65;0;160;159;0,5911949685534591
15;RT-PCR;MG;2020-04-11;238;1264;0;1505;1502;0,1584553928095872
15;RT-PCR;MS;2020-04-11;27;132;0;159;159;0,1698113207547170
15;RT-PCR;MT;2020-04-11;17;42;0;59;59;0,2881355932203390
15;RT-PCR;PA;2020-04-11;109;128;0;240;237;0,4599156118143460
15;RT-PCR;PB;2020-04-11;37;95;0;133;132;0,2803030303030303
15;RT-PCR;PE;2020-04-11;59;58;0;117;117;0,5042735042735043
15;RT-PCR;PI;2020-04-11;9;26;0;35;35;0,2571428571428571
15;RT-PCR;PR;2020-04-11;62;152;0;214;214;0,2897196261682243
15;RT-PCR;RJ;2020-04-11;1536;546;0;2083;2082;0,7377521613832853
15;RT-PCR;RN;2020-04-11;94;393;0;487;487;0,1930184804928131
15;RT-PCR;RO;2020-04-11;31;189;0;220;220;0,1409090909090909
15;RT-PCR;RR;2020-04-11;32;118;0;150;150;0,2133333333333333
15;RT-PCR;RS;2020-04-11;116;657;0;781;773;0,1500646830530401
15;RT-PCR;SC;2020-04-11;397;2497;0;2898;2894;0,1371803731859019
15;RT-PCR;SE;2020-04-11;9;22;0;31;31;0,2903225806451613
15;RT-PCR;SP;2020-04-11;1573;1379;0;2958;2952;0,5328590785907860
15;RT-PCR;TO;2020-04-11;10;56;0;66;66;0,1515151515151515
15;RT-PCR;NA;2020-04-11;3914;459;0;5189;4373;0,8950377315344157
15;Teste rápido;AL;2020-04-11;13;21;0;35;34;0,3823529411764706
15;Teste rápido;AM;2020-04-11;125;112;0;237;237;0,5274261603375527
15;Teste rápido;AP;2020-04-11;52;84;0;136;136;0,3823529411764706
15;Teste rápido;BA;2020-04-11;23;232;0;255;255;0,0901960784313725
15;Teste rápido;CE;2020-04-11;76;222;0;300;298;0,2550335570469799
15;Teste rápido;DF;2020-04-11;15;5;0;22;20;0,7500000000000000
15;Teste rápido;ES;2020-04-11;2;0;0;2;2;1,0000000000000000
15;Teste rápido;GO;2020-04-11;8;64;0;73;72;0,1111111111111111
15;Teste rápido;MA;2020-04-11;32;53;0;86;85;0,3764705882352941
15;Teste rápido;MG;2020-04-11;83;295;0;378;378;0,2195767195767196
15;Teste rápido;MS;2020-04-11;1;7;0;8;8;0,1250000000000000
15;Teste rápido;MT;2020-04-11;7;36;0;43;43;0,1627906976744186
15;Teste rápido;PA;2020-04-11;33;83;0;119;116;0,2844827586206897
15;Teste rápido;PB;2020-04-11;33;117;0;152;150;0,2200000000000000
15;Teste rápido;PE;2020-04-11;20;19;0;39;39;0,5128205128205128
15;Teste rápido;PI;2020-04-11;8;49;0;57;57;0,1403508771929824
15;Teste rápido;PR;2020-04-11;10;12;0;22;22;0,4545454545454545
15;Teste rápido;RJ;2020-04-11;142;213;0;357;355;0,4000000000000000
15;Teste rápido;RN;2020-04-11;8;11;0;19;19;0,4210526315789473
15;Teste rápido;RO;2020-04-11;1;12;0;13;13;0,0769230769230769
15;Teste rápido;RR;2020-04-11;5;3;0;8;8;0,6250000000000000
15;Teste rápido;RS;2020-04-11;35;103;0;140;138;0,2536231884057971
15;Teste rápido;SC;2020-04-11;176;289;0;465;465;0,3784946236559140
15;Teste rápido;SE;2020-04-11;3;19;0;22;22;0,1363636363636364
15;Teste rápido;SP;2020-04-11;52;68;0;120;120;0,4333333333333333
15;Teste rápido;TO;2020-04-11;5;84;0;89;89;0,0561797752808989
15;Teste rápido;NA;2020-04-11;5;10;0;15;15;0,3333333333333333
15;Outros;AL;2020-04-11;1;0;0;1;1;1,0000000000000000
15;Outros;AM;2020-04-11;1;1;0;2;2;0,5000000000000000
15;Outros;BA;2020-04-11;0;1;0;1;1;0,0000000000000000
15;Outros;CE;2020-04-11;1;0;0;1;1;1,0000000000000000
15;Outros;GO;2020-04-11;0;1;0;1;1;0,0000000000000000
15;Outros;MA;2020-04-11;1;0;0;1;1;1,0000000000000000
15;Outros;PA;2020-04-11;1;1;0;2;2;0,5000000000000000
15;Outros;PE;2020-04-11;0;1;0;1;1;0,0000000000000000
15;Outros;RJ;2020-04-11;10;0;0;10;10;1,0000000000000000
15;Outros;SP;2020-04-11;0;1;0;1;1;0,0000000000000000
15;Outros;NA;2020-04-11;1;2;0;51;3;0,3333333333333333
16;RT-PCR;AC;2020-04-18;149;398;0;547;547;0,2723948811700183
16;RT-PCR;AL;2020-04-18;213;154;0;370;367;0,5803814713896458
16;RT-PCR;AM;2020-04-18;776;508;0;1287;1284;0,6043613707165109
16;RT-PCR;AP;2020-04-18;460;358;2;821;820;0,5609756097560976
16;RT-PCR;BA;2020-04-18;835;1781;0;2616;2616;0,3191896024464832
16;RT-PCR;CE;2020-04-18;1597;841;1;2442;2439;0,6547765477654777
16;RT-PCR;DF;2020-04-18;270;197;0;469;467;0,5781584582441114
16;RT-PCR;ES;2020-04-18;64;69;0;133;133;0,4812030075187970
16;RT-PCR;GO;2020-04-18;268;611;0;882;879;0,3048919226393629
16;RT-PCR;MA;2020-04-18;202;81;0;283;283;0,7137809187279152
16;RT-PCR;MG;2020-04-18;344;1606;1;1952;1951;0,1763198359815479
16;RT-PCR;MS;2020-04-18;32;454;0;486;486;0,0658436213991770
16;RT-PCR;MT;2020-04-18;11;37;0;48;48;0,2291666666666667
16;RT-PCR;PA;2020-04-18;298;179;0;481;477;0,6247379454926625
16;RT-PCR;PB;2020-04-18;81;167;0;251;248;0,3266129032258064
16;RT-PCR;PE;2020-04-18;1391;673;20;2090;2084;0,6674664107485605
16;RT-PCR;PI;2020-04-18;61;80;0;141;141;0,4326241134751773
16;RT-PCR;PR;2020-04-18;32;226;0;258;258;0,1240310077519380
16;RT-PCR;RJ;2020-04-18;3234;787;3;4029;4024;0,8036779324055666
16;RT-PCR;RN;2020-04-18;186;447;0;633;633;0,2938388625592417
16;RT-PCR;RO;2020-04-18;103;245;0;348;348;0,2959770114942529
16;RT-PCR;RR;2020-04-18;108;144;0;252;252;0,4285714285714285
16;RT-PCR;RS;2020-04-18;198;791;0;990;989;0,2002022244691608
16;RT-PCR;SC;2020-04-18;372;2785;0;3163;3157;0,1178333861260691
16;RT-PCR;SE;2020-04-18;26;48;0;74;74;0,3513513513513514
16;RT-PCR;SP;2020-04-18;1620;1776;0;3396;3396;0,4770318021201413
16;RT-PCR;TO;2020-04-18;14;79;0;93;93;0,1505376344086022
16;RT-PCR;NA;2020-04-18;2527;3;0;2627;2530;0,9988142292490119
16;Teste rápido;AC;2020-04-18;3;6;0;9;9;0,3333333333333333
16;Teste rápido;AL;2020-04-18;43;124;0;167;167;0,2574850299401197
16;Teste rápido;AM;2020-04-18;348;335;0;684;683;0,5095168374816984
16;Teste rápido;AP;2020-04-18;94;113;0;209;207;0,4541062801932367
16;Teste rápido;BA;2020-04-18;57;495;0;552;552;0,1032608695652174
16;Teste rápido;CE;2020-04-18;317;1000;0;1318;1317;0,2406985573272589
16;Teste rápido;DF;2020-04-18;30;34;0;65;64;0,4687500000000000
16;Teste rápido;ES;2020-04-18;2;2;0;4;4;0,5000000000000000
